user_id,installed_at,platform,is_internal,ab_variant,ab_experiment,country
u_0042_00000,2026-07-03T10:16:45+03:00,android,false,control,paywall_timing_2026q3,RU
u_0042_00001,2026-07-14T10:20:10+03:00,android,false,control,paywall_timing_2026q3,KZ
u_0042_00002,2026-08-17T03:05:51+03:00,ios,false,control,paywall_timing_2026q3,RU
u_0042_00003,2026-07-26T16:15:00+03:00,ios,false,control,paywall_timing_2026q3,RU
u_0042_00004,2026-08-25T23:32:51+03:00,ios,false,control,paywall_timing_2026q3,RU
u_0042_00005,2026-07-29T16:55:35+03:00,android,false,control,paywall_timing_2026q3,RU
u_0042_00006,2026-07-02T21:30:45+03:00,android,false,treatment,paywall_timing_2026q3,RU
u_0042_00007,2026-08-27T12:33:57+03:00,ios,false,treatment,paywall_timing_2026q3,RU
u_0042_00008,2026-07-21T04:10:51+03:00,android,false,control,paywall_timing_2026q3,RU
u_0042_00009,2026-08-05T03:00:25+03:00,android,false,control,paywall_timing_2026q3,RU
u_0042_00010,2026-07-24T05:36:12+03:00,android,false,control,paywall_timing_2026q3,BY
u_0042_00011,2026-08-11T19:34:22+03:00,ios,false,treatment,paywall_timing_2026q3,RU
u_0042_00012,2026-08-15T04:07:07+03:00,web,false,treatment,paywall_timing_2026q3,RU
u_0042_00013,2026-07-05T09:39:56+03:00,web,false,control,paywall_timing_2026q3,RU
u_0042_00014,2026-07-28T03:50:30+03:00,ios,false,control,paywall_timing_2026q3,RU
u_0042_00015,2026-07-13T15:11:27+03:00,android,false,treatment,paywall_timing_2026q3,RU
u_0042_00016,2026-08-04T03:23:42+03:00,ios,false,treatment,paywall_timing_2026q3,RU
u_0042_00017,2026-08-29T13:43:45+03:00,android,false,treatment,paywall_timing_2026q3,RU
u_0042_00018,2026-07-08T15:15:39+03:00,ios,false,control,paywall_timing_2026q3,RU
u_0042_00019,2026-07-10T23:33:06+03:00,ios,false,control,paywall_timing_2026q3,RU
u_0042_00020,2026-08-24T19:21:40+03:00,android,false,treatment,paywall_timing_2026q3,RU
u_0042_00021,2026-07-04T15:37:52+03:00,ios,false,treatment,paywall_timing_2026q3,KZ
u_0042_00022,2026-07-16T13:33:17+03:00,ios,false,treatment,paywall_timing_2026q3,RU
u_0042_00023,2026-07-08T22:09:16+03:00,ios,false,control,paywall_timing_2026q3,RU
u_0042_00024,2026-07-02T20:16:56+03:00,ios,false,treatment,paywall_timing_2026q3,RU
u_0042_00025,2026-08-28T11:49:04+03:00,web,false,control,paywall_timing_2026q3,RU
u_0042_00026,2026-08-17T16:34:45+03:00,ios,false,control,paywall_timing_2026q3,KZ
